نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
شقة,الرياض, حي المروج ,جنوبية,4,1,3,249,True,False,True,3,0,False,1434000
شقة,الرياض, حي العارض ,شمالية غربية,3,1,3,199,False,False,True,علوي,0,False,980000
شقة,الرياض, حي النرجس ,غير معروف,3,1,3,145,True,False,True,أرضي,2,False,1050000
شقة,الرياض, حي النرجس ,شمالية,3,1,3,101,True,False,False,أرضي,0,True,1200000
شقة,الرياض, حي الياسمين ,شرقية,4,1,3,147,True,False,True,علوي,2,True,1200000
شقة,الرياض, حي الياسمين ,غير معروف,3,1,2,118,True,False,True,3,0,False,850000
شقة,الرياض, حي النرجس ,شرقية,3,1,3,112,True,False,False,أرضي,0,False,885000
شقة,الرياض, حي النرجس ,شرقية,2,1,3,100,True,False,True,3,0,False,1200000
شقة,الرياض, حي النرجس ,جنوبية شرقية,3,1,3,170,True,False,True,ثالث,-1,True,930000
شقة,الرياض, حي العقيق ,غير معروف,3,1,3,115,False,True,True,غير معروف,11,False,1100000
شقة,الرياض, حي القيروان ,شرقية,4,1,3,150,True,False,False,أرضي,0,False,1300000
شقة,الرياض, حي النرجس ,غير معروف,2,2,3,157,True,False,False,أرضي,0,False,950000
شقة,الرياض, حي الملقا ,شمالية غربية,4,1,3,124,True,False,True,علوي,0,False,959000
شقة,الرياض, حي الملقا ,غير معروف,3,1,3,140,False,False,True,علوي,0,False,1190000
شقة,الرياض, حي الملقا ,غير معروف,3,1,3,134,True,False,True,غير معروف,1,False,1320000
شقة,الرياض, حي النرجس ,جنوبية,4,1,3,120,True,False,False,أرضي,0,False,850000
شقة,الرياض, حي النخيل ,ثلاث شوارع,2,1,3,140,False,True,True,علوي,0,False,3300000
شقة,الرياض, حي الملقا ,غير معروف,3,1,3,116,True,True,True,أرضي,2,True,1100000
شقة,الرياض, حي القيروان ,غير معروف,3,1,3,100,True,True,True,أرضي,0,False,850000
شقة,الرياض, حي الياسمين ,غير معروف,3,1,3,112,False,False,False,أرضي,0,False,950000
شقة,الرياض, الرياض ,غير معروف,2,1,3,135,False,False,False,غير معروف,0,False,1375000
شقة,الرياض, حي الصحافة ,غير معروف,2,1,3,142,True,True,True,غير معروف,7,False,1980000
شقة,الرياض, حي الياسمين ,جنوبية,4,1,4,201,True,False,True,علوي,3,False,1400000
شقة,الرياض, حي العارض ,جنوبية شرقية,3,2,3,167,True,True,False,غير معروف,0,True,990000
شقة,الرياض, حي القيروان ,غير معروف,3,2,3,228,True,True,True,علوي,0,True,1850000
شقة,الرياض, حي الملقا ,غربية,3,2,3,178,True,True,True,غير معروف,0,False,1499000
شقة,الرياض, حي القيروان ,شرقية,3,1,3,104,True,True,False,أرضي,0,False,1100000
شقة,الرياض, حي النرجس ,جنوبية,3,1,3,185,True,False,True,علوي,2,True,1000000
شقة,الرياض, حي النرجس ,غير معروف,3,1,2,129,True,False,True,علوي,0,False,830000
شقة,الرياض, حي النفل ,شمالية,3,1,4,131,False,True,True,3,0,False,1070000
شقة,الرياض, حي الملقا ,شرقية,4,1,3,259,False,False,True,3,0,False,1450000
شقة,الرياض, حي الياسمين ,غير معروف,3,1,3,124,False,True,False,أرضي,0,False,990000
شقة,الرياض, حي الملقا ,غير معروف,3,1,3,121,False,False,True,علوي,0,False,1249000
شقة,الرياض, الرياض ,غربية,3,1,4,166,True,False,True,علوي,0,True,1190000
شقة,الرياض, حي النرجس ,غير معروف,4,2,4,155,True,True,True,أرضي,0,False,1205000
شقة,الرياض, حي النرجس ,جنوبية,2,2,3,117,False,False,True,3,0,False,899000
شقة,الرياض, حي النرجس ,جنوبية,3,1,3,137,True,False,False,علوي,1,False,850000
شقة,الرياض, حي حطين ,غير معروف,3,1,3,174,True,False,True,أرضي,0,False,1350000
شقة,الرياض, حي الربيع ,جنوبية,3,2,3,264,True,True,True,4,0,False,1800000
شقة,الرياض, حي العقيق ,جنوبية,3,1,3,139,True,True,True,3,10,False,800000
شقة,الرياض, حي الربيع ,جنوبية,2,1,2,123,True,False,False,ثاني,0,False,1379000
شقة,الرياض, حي النرجس ,شمالية,3,1,3,145,True,False,True,أرضي,2,False,1050000
شقة,الرياض, حي القيروان ,شمالية,4,1,2,199,True,False,False,علوي,0,False,1500000
شقة,الرياض, الرياض ,غير معروف,1,0,4,178,True,False,False,أرضي,2,False,1250000
شقة,الرياض, حي العقيق ,شمالية,4,1,3,220,True,True,True,3,0,False,800000
شقة,الرياض, حي الملقا ,شمالية,3,1,3,150,False,False,False,أرضي,0,False,1150000
شقة,الرياض, حي الصحافة ,جنوبية,3,1,3,143,False,False,False,دور 59,9,True,2630000
شقة,الرياض, حي الياسمين ,جنوبية,4,2,5+,178,True,True,True,علوي,0,False,900000
شقة,الرياض, حي العارض ,شمالية,3,1,3,142,True,True,True,علوي,0,False,799000
شقة,الرياض, حي المروج ,غير معروف,3,1,3,116,True,False,False,أرضي,0,False,969000
شقة,الرياض, حي الملقا ,شمالية,2,1,3,222,False,False,True,علوي,0,False,1199000
شقة,الرياض, حي الملقا ,شمالية,3,1,3,161,False,False,False,علوي,11,False,850000
شقة,الرياض, حي العارض ,جنوبية,3,1,3,188,True,True,False,غير معروف,0,False,1190000
شقة,الرياض, حي النرجس ,شمالية,3,1,3,188,True,False,True,3,0,False,980000
شقة,الرياض, حي النخيل ,غير معروف,5,1,4,216,False,False,False,أرضي,3,False,1100000
شقة,الرياض, الرياض ,شرقية,3,1,2,104,True,True,True,3,7,False,715000
شقة,الرياض, حي الملقا ,غير معروف,2,1,2,94,True,True,True,أرضي,0,True,1300000
شقة,الرياض, حي العارض ,غير معروف,3,1,3,176,False,False,False,علوي,0,False,1079000
شقة,الرياض, حي المصيف ,شرقية,2,1,2,103,False,False,True,غير معروف,0,False,849000
شقة,الرياض, حي النرجس ,غير معروف,3,0,3,131,True,False,False,أرضي,1,False,890000
شقة,الرياض, حي النرجس ,ثلاث شوارع,2,1,2,151,True,False,True,أرضي,0,False,896000
شقة,الرياض, الرياض ,جنوبية,4,1,3,151,True,True,True,3,0,True,1369000
شقة,الرياض, حي النرجس ,غير معروف,3,2,4,145,False,False,False,أرضي,0,False,1100000
شقة,الرياض, حي العليا ,ثلاث شوارع,4,2,5+,217,True,True,True,غير معروف,5,True,3500000
شقة,الرياض, حي النرجس ,شمالية,3,1,3,240,True,True,False,أرضي,0,False,1350000
شقة,الرياض, حي العارض ,شمالية,3,1,3,120,True,True,True,ارضي,0,False,1000000
شقة,الرياض, حي النرجس ,غير معروف,3,1,3,214,False,True,True,علوي,0,False,959000
شقة,الرياض, حي الفلاح ,غير معروف,3,1,3,132,False,False,False,علوي,0,False,1065000
شقة,الرياض, حي الملقا ,شرقية,3,1,4,148,True,False,True,علوي,0,True,1350000
شقة,الرياض, حي العارض ,غير معروف,3,1,2,109,True,False,True,علوي,4,False,820000
شقة,الرياض, حي الملقا ,شمالية,3,1,3,161,False,False,True,علوي,0,False,1429000
شقة,الرياض, حي العارض ,جنوبية,3,1,3,200,True,False,True,أرضي,0,False,1100000
شقة,الرياض, حي الملقا ,غير معروف,3,1,3,114,False,False,False,غير معروف,0,False,850000
شقة,الرياض, حي الملقا ,غربية,3,1,3,210,True,False,True,غير معروف,0,True,1700000
شقة,الرياض, حي النرجس ,شرقية,3,1,3,132,True,False,True,أرضي,0,False,985000
شقة,الرياض, حي حطين ,شمالية غربية,3,2,3,155,True,False,False,علوي,0,False,1260000
شقة,الرياض, حي النرجس ,غير معروف,2,2,2,129,False,False,True,علوي,0,False,830000
شقة,الرياض, الرياض ,غير معروف,4,1,3,140,False,True,True,علوي,0,False,1250000
شقة,الرياض, حي العارض ,جنوبية,3,2,3,147,True,True,True,غير معروف,0,False,959000
شقة,الرياض, حي الملقا ,غربية,3,2,3,117,True,False,True,أرضي,0,False,1179000
شقة,الرياض, حي حطين ,شرقية,3,1,2,104,True,True,True,3,0,False,745000
شقة,الرياض, حي الندى ,شرقية,3,1,3,135,True,True,True,أرضي,3,False,1300000
شقة,الرياض, حي الملقا ,شمالية,3,1,3,129,True,False,True,علوي,0,True,1200000
شقة,الرياض, حي العارض ,جنوبية غربية,4,1,4,188,False,True,True,ثاني,0,False,1200000
شقة,الرياض, الرياض ,غير معروف,3,1,3,134,False,True,True,أرضي,0,False,1350000
شقة,الرياض, الرياض ,شرقية,3,1,5+,428,True,False,False,علوي,0,False,1650000
شقة,الرياض, حي الملك فهد ,غير معروف,3,1,3,100,True,False,True,علوي,0,False,980000
شقة,الرياض, الرياض ,شمالية,3,1,2,104,False,True,True,3,1,False,715000
شقة,الرياض, حي الياسمين ,شمالية,4,1,4,204,True,False,False,أرضي,13,True,1550000
شقة,الرياض, حي النخيل ,غير معروف,3,2,3,169,True,False,False,3,0,False,1490000
شقة,الرياض, حي العارض ,شرقية,3,1,4,341,False,False,False,ارضي,0,False,1450000
شقة,الرياض, حي الوادي ,جنوبية,3,1,3,126,True,False,False,علوي,2,True,970000
شقة,الرياض, حي العارض ,شرقية,3,1,3,120,True,True,True,ارضي,0,False,1100000
شقة,الرياض, الرياض ,غير معروف,4,1,3,126,True,False,True,علوي,7,True,1350000
شقة,الرياض, حي الملقا ,شرقية,4,2,4,232,True,True,True,3,1,True,1500000
شقة,الرياض, حي العقيق ,شرقية,3,1,3,135,True,False,True,علوي,11,True,850000
شقة,الرياض, الرياض ,جنوبية,3,2,3,130,True,False,False,أرضي,0,False,840000
شقة,الرياض, حي المصيف ,شمالية شرقية,3,1,2,107,True,True,True,أرضي,7,False,750000
شقة,الرياض, حي النفل ,شمالية,2,1,3,93,False,False,True,4,0,False,1070000
شقة,الرياض, حي الملقا ,شمالية غربية,3,2,3,124,False,False,True,3,0,False,950000
شقة,الرياض, حي الملقا ,غير معروف,3,1,3,140,True,True,True,علوي,0,False,850000
شقة,الرياض, حي النرجس ,غربية,6,2,3,256,False,False,True,علوي,0,False,1399000
شقة,الرياض, حي النرجس ,غير معروف,3,3,3,130,True,False,False,أرضي,0,False,890000
شقة,الرياض, حي العقيق ,شمالية,4,2,4,139,True,False,True,غير معروف,8,True,800000
شقة,الرياض, حي النفل ,شمالية,3,1,3,126,False,False,False,غير معروف,2,False,970000
شقة,الرياض, حي النفل ,شمالية,3,1,3,174,True,False,True,غير معروف,0,False,850000
شقة,الرياض, حي الملقا ,جنوبية شرقية,3,1,3,113,True,False,True,أرضي,0,False,1020000
شقة,الرياض, حي حطين ,شرقية,2,2,2,104,True,True,True,4,0,False,715000
شقة,الرياض, حي العارض ,شرقية,2,1,3,61,True,False,False,علوي,0,False,750000
شقة,الرياض, الرياض ,شرقية,3,1,3,163,False,False,True,علوي,0,False,985000
شقة,الرياض, حي النرجس ,جنوبية,2,2,3,117,True,False,True,3,0,False,849000
شقة,الرياض, حي الملقا ,شرقية,4,2,3,168,True,True,True,علوي,0,False,1200000
شقة,الرياض, حي النرجس ,ثلاث شوارع,1,0,3,151,True,False,True,أرضي,0,False,900000
شقة,الرياض, حي النرجس ,شمالية,3,2,5+,226,True,True,False,أرضي,8,False,1650000
شقة,الرياض, حي النرجس ,غير معروف,2,1,3,129,True,False,False,علوي,0,False,830000
شقة,الرياض, حي التعاون ,شمالية,3,1,3,140,True,False,False,أرضي,4,False,1200000
شقة,الرياض, حي النخيل ,جنوبية,3,2,5+,216,True,False,True,أرضي,3,False,1200000
شقة,الرياض, حي المغرزات ,شرقية,3,1,3,218,True,True,True,4,0,False,1379000
شقة,الرياض, حي العارض ,جنوبية,3,1,3,216,True,False,True,أرضي,3,False,1180000
شقة,الرياض, حي الملقا ,شرقية,1,1,3,86,True,True,True,علوي,0,False,900000
شقة,الرياض, حي العارض ,جنوبية,3,2,2,129,True,False,True,أرضي,0,False,1000000
شقة,الرياض, الرياض ,غير معروف,3,2,2,176,True,True,True,علوي,1,False,1350000
شقة,الرياض, حي النرجس ,جنوبية غربية,3,1,3,172,False,False,False,أرضي,0,False,1100000
شقة,الرياض, حي الياسمين ,شمالية,3,2,4,212,True,False,True,أرضي,10,False,1000000
شقة,الرياض, حي الملقا ,شرقية,3,1,3,134,True,False,False,علوي,0,False,980000
شقة,الرياض, حي القيروان ,شرقية,3,1,3,139,True,False,False,أرضي,1,False,1600000
شقة,الرياض, الرياض ,شرقية,4,1,3,134,True,True,True,3,1,False,1100000
شقة,الرياض, الرياض ,غير معروف,1,0,3,151,False,False,False,غير معروف,0,False,896000
شقة,الرياض, حي التعاون ,شرقية,4,2,3,126,True,False,True,علوي,5,False,900000
شقة,الرياض, حي الملقا ,شرقية,3,1,3,135,True,False,True,أرضي,0,True,1176000
شقة,الرياض, حي النرجس ,غربية,3,1,3,115,True,True,True,أرضي,0,False,799000
شقة,الرياض, حي الصحافة ,جنوبية شرقية,1,1,2,81,True,True,True,غير معروف,7,True,1600000
شقة,الرياض, حي العارض ,غير معروف,2,1,3,133,False,True,True,أرضي,0,False,790000
شقة,الرياض, حي النرجس ,غير معروف,3,2,3,147,True,False,False,أرضي,0,False,920000
شقة,الرياض, حي الياسمين ,غير معروف,4,1,3,112,False,False,True,أرضي,0,False,955000
شقة,الرياض, حي العارض ,جنوبية,3,1,3,126,False,True,False,ارضي,0,False,900000
شقة,الرياض, الرياض ,شرقية,4,1,5+,181,False,False,True,علوي,0,False,1300000
شقة,الرياض, حي النرجس ,ثلاث شوارع,2,1,3,167,True,True,True,علوي,0,False,1255600
شقة,الرياض, حي العارض ,شمالية,3,1,4,203,False,True,True,ثالث,0,False,1150000
شقة,الرياض, حي النرجس ,شمالية,3,1,2,120,True,True,True,أرضي,0,False,909000
شقة,الرياض, حي النرجس ,جنوبية,3,1,3,134,False,False,True,علوي,0,False,890000
شقة,الرياض, حي النرجس ,شرقية,3,1,4,178,True,False,True,أرضي,0,False,900000
شقة,الرياض, حي الياسمين ,غير معروف,6,1,5+,180,True,False,False,أرضي,10,True,1100000
شقة,الرياض, حي الملقا ,شمالية,4,1,3,179,True,True,True,3,0,False,1155000
شقة,الرياض, حي الفلاح ,غير معروف,3,1,3,112,True,False,False,علوي,0,False,1069000
شقة,الرياض, حي الملقا ,غربية,3,1,3,190,True,True,True,علوي,0,False,1600000
شقة,الرياض, حي الربيع ,جنوبية,3,1,3,114,True,False,True,أرضي,0,False,1000000
شقة,الرياض, حي الياسمين ,جنوبية,3,1,3,172,True,True,False,غير معروف,3,False,1250000
شقة,الرياض, حي الياسمين ,غير معروف,4,1,3,154,True,False,True,أرضي,0,False,900000
شقة,الرياض, حي النرجس ,شرقية,3,2,3,137,False,False,False,أرضي,0,False,980000
شقة,الرياض, الرياض ,غير معروف,3,1,4,181,True,True,True,20+,0,True,2550000
شقة,الرياض, حي القيروان ,غير معروف,3,1,2,126,False,False,False,غير معروف,2,False,950000
شقة,الرياض, حي النرجس ,غير معروف,4,1,4,137,False,False,False,أرضي,0,False,1070000
شقة,الرياض, حي الملقا ,شرقية,3,1,3,128,True,False,False,علوي,7,False,860000
شقة,الرياض, حي العارض ,شمالية,3,1,2,120,False,False,True,أرضي,0,False,910000
شقة,الرياض, حي النرجس ,جنوبية شرقية,1,1,2,170,True,False,True,3,0,False,930000
شقة,الرياض, حي الندى ,جنوبية,3,2,3,138,True,True,True,علوي,0,False,1089000
شقة,الرياض, حي العارض ,شرقية,3,1,3,280,False,True,True,علوي,0,False,1289000
شقة,الرياض, حي القيروان ,غير معروف,3,1,3,130,True,True,True,أرضي,0,True,1328465
شقة,الرياض, حي النرجس ,غير معروف,2,1,2,129,True,False,False,أرضي,0,False,830000
شقة,الرياض, حي العارض ,شرقية,3,1,3,144,False,False,False,أرضي,0,False,900000
شقة,الرياض, حي الملقا ,غير معروف,3,2,3,169,False,False,True,علوي,0,False,1350000
شقة,الرياض, حي العارض ,جنوبية,4,1,4,200,False,True,False,أرضي,0,False,1200000
شقة,الرياض, حي العارض ,غير معروف,4,1,3,138,True,False,False,علوي,3,False,750000
شقة,الرياض, حي النرجس ,شمالية,3,1,3,138,True,True,True,أرضي,3,False,1200000
شقة,الرياض, حي النرجس ,شمالية,4,2,4,163,True,False,False,3,0,False,900000
شقة,الرياض, حي النرجس ,شمالية,4,1,3,179,True,True,True,3,0,False,1155000
شقة,الرياض, حي الياسمين ,غير معروف,2,1,3,100,True,False,False,أرضي,5,False,850000
شقة,الرياض, حي العارض ,جنوبية,4,2,4,200,True,True,True,علوي,0,False,1190000
شقة,الرياض, حي القيروان ,غير معروف,3,1,3,135,True,False,True,3,3,True,1400000
شقة,الرياض, حي النرجس ,ثلاث شوارع,2,1,3,151,True,True,True,علوي,0,False,1179000
شقة,الرياض, حي العقيق ,شمالية غربية,3,1,3,162,True,True,True,3,0,False,700000
شقة,الرياض, حي العارض ,جنوبية,3,2,3,134,True,False,False,أرضي,0,True,1200000
شقة,الرياض, الرياض ,غير معروف,3,1,3,195,True,True,True,علوي,0,True,1199000
شقة,الرياض, حي الوادي ,شمالية,4,1,2,161,True,True,True,3,0,False,800000
شقة,الرياض, حي حطين ,شرقية,3,1,3,141,True,False,True,أرضي,0,False,1400000
شقة,الرياض, حي المصيف ,جنوبية,2,1,2,100,True,False,True,غير معروف,2,True,1100000
شقة,الرياض, حي النرجس ,جنوبية,3,2,3,200,True,False,False,أرضي,1,False,950000
شقة,الرياض, حي الندى ,جنوبية,2,1,3,109,True,False,True,أرضي,0,False,839000
شقة,الرياض, الرياض ,غير معروف,3,2,3,149,True,False,True,علوي,0,False,1250000
شقة,الرياض, حي العارض ,جنوبية,2,1,2,133,False,False,True,غير معروف,0,False,799000
شقة,الرياض, حي القيروان ,شمالية غربية,3,1,4,280,True,True,False,اول,0,False,1730000
شقة,الرياض, حي الملقا ,شمالية,4,1,4,157,False,False,True,علوي,0,False,1300000
شقة,الرياض, حي الندى ,جنوبية شرقية,3,2,3,241,True,True,True,3,0,False,1429000
شقة,الرياض, حي النرجس ,غير معروف,3,1,3,131,True,False,False,أرضي,0,True,890000
شقة,الرياض, حي حطين ,شرقية,3,1,3,104,True,True,False,أرضي,0,True,1400000
شقة,الرياض, حي النرجس ,شرقية,4,2,3,144,False,False,True,علوي,0,False,1150000
شقة,الرياض, حي حطين ,غير معروف,3,2,4,166,False,False,True,أرضي,0,False,1299000
شقة,الرياض, حي الملقا ,شرقية,3,1,3,169,True,False,True,أرضي,0,False,1179000
شقة,الرياض, حي العارض ,جنوبية,3,1,3,153,True,True,False,غير معروف,0,True,1160000
شقة,الرياض, حي القيروان ,شمالية,3,1,3,210,False,False,True,3,0,False,1390000
شقة,الرياض, الرياض ,شمالية شرقية,3,1,3,147,False,False,False,أرضي,0,False,957000
شقة,الرياض, حي الملقا ,غير معروف,3,2,3,119,True,False,False,أرضي,10,False,799000
شقة,الرياض, حي المرسلات ,غير معروف,3,1,3,128,False,False,True,علوي,0,False,1400000
شقة,الرياض, حي المغرزات ,غربية,3,1,3,154,True,True,True,علوي,0,False,1179000
شقة,الرياض, حي التعاون ,شمالية,4,1,3,191,True,True,True,3,0,False,1620000
شقة,الرياض, حي النرجس ,جنوبية شرقية,3,1,4,160,False,False,True,غير معروف,0,False,1100000
شقة,الرياض, حي حطين ,شرقية,3,2,3,170,False,False,True,3,0,False,1390000
شقة,الرياض, حي النرجس ,شمالية غربية,3,2,3,176,False,False,True,علوي,0,False,1233000
شقة,الرياض, حي الملقا ,غربية,3,2,3,117,True,False,True,3,0,True,1179000
شقة,الرياض, الرياض ,جنوبية غربية,3,2,3,146,True,False,True,علوي,0,False,1250000
شقة,الرياض, حي النرجس ,شمالية,3,1,3,132,True,False,False,غير معروف,0,False,1029000
شقة,الرياض, الرياض ,ثلاث شوارع,4,1,4,151,False,False,False,غير معروف,0,False,896000
شقة,الرياض, حي الياسمين ,غير معروف,3,2,3,191,True,False,False,أرضي,0,False,1189000
شقة,الرياض, حي الياسمين ,شمالية,3,1,3,174,True,False,True,غير معروف,0,False,850000
